customer_id,customer_name,city
CUST3310,Anjali Das,Bengaluru
CUST3035,Vikram Gupta,Bengaluru
CUST2210,Rahul Nair,Bengaluru
CUST3183,Priya Das,Bengaluru
CUST2430,Amit Joshi,Bengaluru
CUST2822,Rahul Joshi,Bengaluru
CUST2539,Vikram Das,Bengaluru
CUST2789,Karan Kumar,Bengaluru
CUST2547,Karan Das,Bengaluru
CUST2408,Pooja Sharma,Bengaluru
CUST2176,Aditya Nair,Bengaluru
CUST3331,Aarav Kumar,Bengaluru
CUST2469,Deepika Sharma,Bengaluru
CUST2390,Rohan Iyer,Bengaluru
CUST2341,Anjali Reddy,Bengaluru
CUST3187,Aarav Rao,Bengaluru
CUST2140,Aditya Nair,Bengaluru
CUST2269,Anjali Kumar,Bengaluru
CUST2757,Priya Nair,Bengaluru
CUST2319,Suresh Nair,Bengaluru
CUST2268,Neha Singh,Bengaluru
CUST2881,Karan Gupta,Bengaluru
CUST2363,Ramesh Singh,Bengaluru
CUST2409,Anjali Mishra,Bengaluru
CUST2679,Aditya Mehta,Bengaluru
CUST2237,Pooja Mehta,Bengaluru
CUST3277,Karan Kumar,Bengaluru
CUST3388,Rahul Sharma,Bengaluru
CUST2348,Karan Kumar,Bengaluru
CUST2933,Karan Sharma,Bengaluru
CUST2952,Suresh Iyer,Bengaluru
CUST2973,Ramesh Mehta,Bengaluru
CUST3107,Deepika Patel,Bengaluru
CUST3197,Karan Singh,Bengaluru
CUST2450,Anjali Gupta,Bengaluru
CUST3358,Karan Singh,Bengaluru
CUST2517,Ramesh Rao,Bengaluru
CUST2507,Suresh Gupta,Bengaluru
CUST3472,Pooja Das,Bengaluru
CUST2498,Rahul Gupta,Bengaluru
CUST2217,Aditya Mishra,Bengaluru
CUST2661,Karan Joshi,Bengaluru
CUST2698,Priya Joshi,Bengaluru
CUST2918,Aarav Singh,Bengaluru
CUST2628,Neha Singh,Bengaluru
CUST3223,Aditya Verma,Bengaluru
CUST2211,Priya Mishra,Bengaluru
CUST2110,Simran Mehta,Bengaluru
CUST3206,Ramesh Kumar,Bengaluru
CUST2154,Karan Sen,Bengaluru
CUST3208,Suresh Reddy,Bengaluru
CUST2900,Anjali Mishra,Bengaluru
CUST3381,Priya Reddy,Bengaluru
CUST2963,Rahul Kumar,Bengaluru
CUST2663,Simran Mishra,Bengaluru
CUST2417,Amit Verma,Bengaluru
CUST2191,Simran Iyer,Bengaluru
CUST2297,Deepika Gupta,Bengaluru
CUST3188,Deepika Iyer,Bengaluru
CUST2090,Simran Mishra,Bengaluru
CUST2902,Rohan Singh,Bengaluru
CUST3093,Amit Nair,Bengaluru
CUST3442,Amit Nair,Bengaluru
CUST2369,Aarav Iyer,Bengaluru
CUST2953,Anjali Sen,Bengaluru
CUST2486,Priya Sharma,Bengaluru
CUST3160,Aditya Reddy,Bengaluru
CUST2281,Amit Gupta,Bengaluru
CUST3088,Aarav Iyer,Bengaluru
CUST3484,Amit Kumar,Bengaluru
CUST3383,Aditya Patel,Bengaluru
CUST2624,Neha Sharma,Bengaluru
CUST2836,Simran Das,Bengaluru
CUST2932,Aarav Mehta,Bengaluru
CUST2673,Aditya Sen,Bengaluru
CUST2734,Rohan Nair,Bengaluru
CUST2089,Priya Nair,Bengaluru
CUST2304,Anjali Mehta,Bengaluru
CUST3477,Vikram Patel,Bengaluru
CUST3407,Rohan Reddy,Bengaluru
CUST2251,Suresh Joshi,Bengaluru
CUST2988,Ramesh Sen,Bengaluru
CUST2696,Anjali Sharma,Bengaluru
CUST2758,Simran Rao,Bengaluru
CUST3050,Amit Sharma,Bengaluru
CUST2282,Rohan Kumar,Bengaluru
CUST2039,Karan Verma,Bengaluru
CUST2742,Amit Singh,Bengaluru
CUST3297,Karan Rao,Bengaluru
CUST2155,Pooja Mishra,Bengaluru
CUST2621,Neha Gupta,Bengaluru
CUST3217,Simran Gupta,Bengaluru
CUST3463,Vikram Verma,Bengaluru
CUST3391,Vikram Verma,Bengaluru
CUST2683,Pooja Joshi,Bengaluru
CUST3404,Rahul Joshi,Bengaluru
CUST2606,Simran Rao,Bengaluru
CUST2490,Ramesh Verma,Bengaluru
CUST2284,Deepika Kumar,Bengaluru
CUST2896,Deepika Gupta,Bengaluru
CUST3464,Karan Nair,Bengaluru
CUST2307,Suresh Sharma,Bengaluru
CUST2739,Deepika Patel,Bengaluru
CUST3346,Priya Rao,Bengaluru
CUST3467,Aditya Rao,Bengaluru
CUST2586,Ramesh Mehta,Bengaluru
CUST2910,Vikram Rao,Bengaluru
CUST2064,Neha Mishra,Bengaluru
CUST2762,Aarav Nair,Bengaluru
CUST2440,Simran Gupta,Bengaluru
CUST3111,Rahul Rao,Bengaluru
CUST2958,Ramesh Mishra,Bengaluru
CUST2922,Aditya Gupta,Bengaluru
CUST2462,Suresh Reddy,Bengaluru
CUST3350,Vikram Mishra,Bengaluru
CUST2063,Deepika Rao,Bengaluru
CUST2697,Karan Mehta,Bengaluru
CUST2508,Aarav Singh,Bengaluru
CUST2957,Deepika Das,Bengaluru
CUST3378,Aditya Mehta,Bengaluru
CUST3134,Aarav Patel,Bengaluru
CUST2749,Rahul Das,Bengaluru
CUST2672,Suresh Mishra,Bengaluru
CUST3196,Amit Joshi,Bengaluru
CUST2418,Pooja Iyer,Bengaluru
CUST2942,Deepika Das,Bengaluru
CUST2715,Simran Verma,Bengaluru
CUST2982,Anjali Patel,Bengaluru
CUST2677,Priya Iyer,Bengaluru
CUST3323,Aditya Iyer,Bengaluru
CUST3015,Aarav Reddy,Bengaluru
CUST2959,Karan Mishra,Bengaluru
CUST3252,Karan Kumar,Bengaluru
CUST2676,Suresh Sen,Bengaluru
CUST2637,Simran Reddy,Bengaluru
CUST2239,Anjali Reddy,Bengaluru
CUST2811,Pooja Kumar,Bengaluru
CUST3494,Ramesh Sharma,Bengaluru
CUST3084,Deepika Patel,Bengaluru
CUST2944,Deepika Kumar,Bengaluru
CUST3225,Priya Nair,Bengaluru
CUST2654,Neha Iyer,Bengaluru
CUST2359,Simran Kumar,Bengaluru
CUST2494,Pooja Gupta,Bengaluru
CUST2955,Karan Gupta,Bengaluru
CUST2848,Ramesh Mishra,Bengaluru
CUST3023,Pooja Nair,Bengaluru
CUST3476,Rahul Sen,Bengaluru
CUST2310,Suresh Joshi,Bengaluru
CUST3085,Vikram Nair,Bengaluru
CUST2192,Pooja Iyer,Bengaluru
CUST3082,Aditya Rao,Bengaluru
CUST2296,Aditya Verma,Bengaluru
CUST3026,Ramesh Mishra,Bengaluru
CUST3005,Simran Rao,Bengaluru
CUST3299,Simran Verma,Bengaluru
CUST2740,Vikram Sen,Bengaluru
CUST2882,Simran Mishra,Bengaluru
CUST2748,Deepika Nair,Bengaluru
CUST3379,Rohan Kumar,Bengaluru
CUST2857,Pooja Iyer,Bengaluru
CUST3322,Suresh Patel,Bengaluru
CUST3025,Ramesh Verma,Bengaluru
CUST2976,Ramesh Patel,Bengaluru
CUST2500,Aarav Mehta,Bengaluru
CUST2921,Rahul Singh,Bengaluru
CUST3374,Neha Singh,Bengaluru
CUST3259,Karan Rao,Bengaluru
CUST2867,Simran Gupta,Bengaluru
CUST2787,Pooja Kumar,Bengaluru
CUST2592,Anjali Iyer,Bengaluru
CUST2871,Aditya Kumar,Bengaluru
CUST3456,Rohan Patel,Bengaluru
CUST2548,Deepika Mishra,Bengaluru
CUST2805,Amit Nair,Bengaluru
CUST3000,Ramesh Mehta,Bengaluru
CUST2550,Vikram Kumar,Bengaluru
CUST2324,Ramesh Rao,Bengaluru
CUST3393,Priya Sen,Bengaluru
CUST2753,Aditya Kumar,Bengaluru
CUST3287,Anjali Kumar,Bengaluru
CUST3119,Neha Kumar,Bengaluru
CUST2868,Priya Singh,Bengaluru
CUST3395,Priya Nair,Bengaluru
CUST2558,Aditya Mehta,Bengaluru
CUST3481,Amit Mehta,Bengaluru
CUST2755,Aarav Mishra,Bengaluru
CUST2020,Amit Patel,Bengaluru
CUST3357,Deepika Kumar,Bengaluru
CUST2224,Karan Kumar,Bengaluru
CUST2927,Simran Reddy,Bengaluru
CUST2173,Pooja Nair,Bengaluru
CUST2345,Ramesh Das,Bengaluru
CUST3264,Karan Patel,Bengaluru
CUST2983,Simran Sharma,Bengaluru
CUST2361,Amit Sharma,Bengaluru
CUST2185,Ramesh Rao,Bengaluru
CUST2122,Anjali Gupta,Bengaluru
CUST2280,Simran Das,Bengaluru
CUST2261,Neha Reddy,Bengaluru
CUST2526,Simran Joshi,Bengaluru
CUST3334,Ramesh Kumar,Bengaluru
CUST2693,Pooja Singh,Bengaluru
CUST3479,Vikram Patel,Bengaluru
CUST3356,Anjali Reddy,Bengaluru
CUST3315,Amit Reddy,Bengaluru
CUST3367,Deepika Das,Bengaluru
CUST3097,Priya Gupta,Bengaluru
CUST2395,Anjali Sharma,Bengaluru
CUST2566,Rohan Singh,Bengaluru
CUST2080,Pooja Gupta,Bengaluru
CUST2202,Deepika Mishra,Bengaluru
CUST3058,Priya Patel,Bengaluru
CUST2511,Aditya Kumar,Bengaluru
CUST2364,Aarav Reddy,Bengaluru
CUST2454,Rohan Das,Bengaluru
CUST3246,Priya Joshi,Bengaluru
CUST3150,Ramesh Verma,Bengaluru
CUST2386,Rohan Joshi,Bengaluru
CUST2829,Simran Nair,Bengaluru
CUST2371,Neha Patel,Bengaluru
CUST2862,Anjali Kumar,Bengaluru
CUST3086,Pooja Verma,Bengaluru
CUST2642,Amit Mishra,Bengaluru
CUST2010,Aarav Das,Bengaluru
CUST3284,Ramesh Singh,Bengaluru
CUST3066,Rahul Gupta,Bengaluru
CUST2433,Suresh Singh,Bengaluru
CUST3339,Aditya Verma,Bengaluru
CUST2207,Deepika Gupta,Bengaluru
CUST2410,Aarav Mehta,Bengaluru
CUST2227,Simran Mehta,Bengaluru
CUST2103,Priya Iyer,Bengaluru
CUST2674,Priya Singh,Bengaluru
CUST2864,Karan Verma,Bengaluru
CUST2372,Ramesh Gupta,Bengaluru
CUST2644,Karan Sen,Bengaluru
CUST2987,Vikram Kumar,Bengaluru
CUST2104,Pooja Das,Bengaluru
CUST2745,Ramesh Mehta,Bengaluru
CUST2728,Karan Sen,Bengaluru
CUST2442,Amit Reddy,Bengaluru
CUST3022,Deepika Sen,Bengaluru
CUST3347,Rahul Nair,Bengaluru
CUST3434,Rahul Gupta,Bengaluru
CUST3455,Amit Sharma,Bengaluru
CUST3071,Priya Mehta,Bengaluru
CUST2067,Pooja Singh,Bengaluru
CUST2403,Pooja Nair,Bengaluru
CUST2012,Priya Rao,Bengaluru
CUST2451,Ramesh Gupta,Bengaluru
CUST3087,Karan Mishra,Bengaluru
CUST2791,Rahul Joshi,Bengaluru
CUST2343,Rahul Patel,Bengaluru
CUST3406,Priya Sharma,Bengaluru
CUST2924,Rahul Mehta,Bengaluru
CUST2733,Suresh Singh,Bengaluru
CUST2801,Deepika Singh,Bengaluru
CUST3222,Suresh Sharma,Bengaluru
CUST2518,Ramesh Iyer,Bengaluru
CUST3190,Pooja Sen,Bengaluru
CUST2747,Rohan Sen,Bengaluru
CUST2913,Pooja Nair,Bengaluru
CUST2596,Amit Mehta,Bengaluru
CUST3159,Vikram Iyer,Bengaluru
CUST2962,Aditya Joshi,Bengaluru
CUST3204,Neha Singh,Bengaluru
CUST3318,Deepika Mishra,Bengaluru
CUST3210,Aarav Sharma,Bengaluru
CUST3228,Aarav Joshi,Bengaluru
CUST2860,Pooja Singh,Bengaluru
CUST3390,Suresh Verma,Bengaluru
CUST2172,Deepika Patel,Bengaluru
CUST2838,Deepika Gupta,Bengaluru
CUST2989,Karan Mishra,Bengaluru
CUST2332,Rahul Verma,Bengaluru
CUST2892,Pooja Iyer,Bengaluru
CUST3013,Rahul Reddy,Bengaluru
CUST2178,Anjali Das,Bengaluru
CUST2713,Neha Rao,Bengaluru
CUST3052,Simran Joshi,Bengaluru
CUST2701,Anjali Nair,Bengaluru
CUST2470,Ramesh Sharma,Bengaluru
CUST3108,Priya Rao,Bengaluru
CUST3255,Aarav Sharma,Bengaluru
CUST3171,Aarav Mehta,Bengaluru
CUST2276,Suresh Iyer,Bengaluru
CUST2198,Aarav Rao,Bengaluru
CUST2344,Simran Das,Bengaluru
CUST2810,Priya Verma,Bengaluru
CUST2164,Anjali Reddy,Bengaluru
CUST2891,Anjali Patel,Bengaluru
CUST2705,Rahul Joshi,Bengaluru
CUST2846,Ramesh Sharma,Bengaluru
CUST2381,Aarav Rao,Bengaluru
CUST2950,Vikram Kumar,Bengaluru
CUST2250,Suresh Das,Bengaluru
CUST2662,Simran Singh,Bengaluru
CUST3267,Karan Mehta,Bengaluru
CUST2044,Rahul Iyer,Bengaluru
CUST2564,Anjali Rao,Bengaluru
CUST3271,Suresh Nair,Bengaluru
CUST3209,Anjali Mishra,Bengaluru
CUST2756,Rohan Patel,Bengaluru
CUST3168,Vikram Patel,Bengaluru
CUST3127,Suresh Mishra,Bengaluru
CUST2034,Aditya Verma,Bengaluru
CUST3440,Aditya Mehta,Bengaluru
CUST3337,Deepika Nair,Bengaluru
CUST3499,Pooja Reddy,Bengaluru
CUST2175,Priya Reddy,Bengaluru
CUST2029,Aditya Gupta,Bengaluru
CUST3194,Karan Das,Bengaluru
CUST2738,Deepika Mehta,Bengaluru
CUST3149,Vikram Rao,Bengaluru
CUST2127,Ramesh Rao,Bengaluru
CUST2283,Rahul Joshi,Bengaluru
CUST3142,Aditya Mehta,Bengaluru
CUST2379,Aarav Iyer,Bengaluru
CUST2794,Deepika Iyer,Bengaluru
CUST2414,Neha Das,Bengaluru
CUST3254,Simran Verma,Bengaluru
CUST2631,Aarav Reddy,Bengaluru
CUST2488,Neha Kumar,Bengaluru
CUST3417,Aarav Mishra,Bengaluru
CUST2120,Vikram Mishra,Bengaluru
CUST2725,Deepika Iyer,Bengaluru
CUST2425,Amit Joshi,Bengaluru
CUST2013,Vikram Mishra,Bengaluru
CUST2687,Rohan Das,Bengaluru
CUST2136,Ramesh Singh,Bengaluru
CUST2240,Deepika Nair,Bengaluru
CUST2272,Anjali Reddy,Bengaluru
CUST2640,Suresh Rao,Bengaluru
CUST3147,Aarav Nair,Bengaluru
CUST3414,Ramesh Joshi,Bengaluru
CUST2960,Suresh Joshi,Bengaluru
CUST2666,Ramesh Iyer,Bengaluru
CUST2220,Amit Rao,Bengaluru
CUST3211,Deepika Nair,Bengaluru
CUST3303,Deepika Das,Bengaluru
CUST2706,Anjali Rao,Bengaluru
CUST2885,Karan Singh,Bengaluru
CUST2316,Anjali Mishra,Bengaluru
CUST3238,Rahul Nair,Bengaluru
